year,label,lat,lon,note,place
2002,High School,31.808025,121.65744,Where I started,"Qidong, China"
2006,Undergraduate,30.658601,104.064856,Spicy province in China,"Chengdu, China"
2007,MSc.,60.67452,17.14174,Gevalia coffee and Gavle goat,"Gavle, Sweden"
2008,Research Assistant,22.3193,114.1694,First time in a big/mega city,"Hong Kong, China"
2009,MSc.,60.67452,17.14174,Back to the snowy town,"Gavle, Sweden"
2013,Ph.D,53.3498,-6.2603,"Dublin, Ireland. Undergraduate studies","Dublin, Ireand"
2014,Postdoc,40.1106,-88.2073,"Urbana, Illinois. Postdoc","Urbana, USA"
2019,Assistant Research Prof,40.7934,-77.86,Happy Valley,"State College, USA"
2022,Fieldwork,61.2181,-149.9003,Wordly experience,"Dillingham, Alaska"
2025,Assistant Professor,38.8997,-77.0486,Captial of the USA,"Washington, DC, USA"
